,Unnamed: 0.1,Unnamed: 0,neighborhood,city,street,description,area,rooms,parking,bathrooms,lat,lon
0,0,0,Monte Castelo, São José dos Campos,Rua Vinte e Um de Abril,"LINDO APARTAMENTO
54 M² COM VARANDA 
-2 QUARTOS SENDO 1 SUÍTE 
-SALA AMPLA
-COZINHA AMERICANA

O CONDOMINIO POSSUI
- 2 ELEVADORES
-SALÃO DE FESTAS

PROXIMO:
-ESCOLAS
-TRANSPORTE PUBLICO
-HAVAN 
-ATACADÃO
-PRINCIPAIS VIAS DE ACESSO
-CENTRO DE COMERCIO
-FARMACIAS 
-CRECHES 
AGENDE UMA VISITA",54,2,1,1,-23.1417569,-45.7825794
1,1,1,Monte Castelo, São José dos Campos,Rua Capitão Raul Fagundes,"O Edifício Grand Castelo foi projetado para quem deseja morar bem e ter muita praticidade no dia-a-dia. Apartamentos de 2 dormitórios (1 suíte), wc social, varanda, sala de estar e jantar, banheiro social, cozinha e área de serviço.

Toda área de entretenimento foi pensada em você que gosta de praticidade e economia. Teremos Lounge, Salão de Festas, Espaço Fitness, Espaço Air Cross, Espaço Kids, Playground, Espaço Pet e Coworking. Nossos diferenciais são estrutura para portaria remota com segurança 24 horas, painel fotovoltaico (para apoio áreas comuns), manta de isolamento acústico entre os andares, infraestrutura de ar-condicionado (quartos e sala), lazer equipado (conforme memorial descritivo).

As imagens são meramente ilustrativas. O empreendimento está localizado na melhor área do Bairro Monte Castelo. Próximo a mercados, restaurantes, Bancos e comércio local. Estamos localizados a 5 min. do Centro da Cidade de São José dos Campos, Center Vale Shopping, Havan e Atacadão. Fácil acesso a Dutra e Anel Viário.

Financiamento direto com a Construtora durante a Obra ; Entrada facilitada** ; **Consulte condições**

*VALOR PROMOCIONAL VÁLIDO SOMENTE PARA UNIDADES 14,22,24 E 34* *Vigência valor promocional de 01/ Maio/2024 à 31/Maio/2024*",63 - 65,2,1,2,-23.1884966,-45.8741923
2,2,2,Vila Ema, São José dos Campos,Rua Padre Rodolfo,"Apartamento - Jardim Apolo - Residencial Allure - 120m² - 3 Dormitórios.

O Residencial Allure está localizado na Jardim Apolo, possui fácil acesso às principais vias da cidade.

Conheça as características deste apartamento:

- 120m²
- 3 Dormitórios sendo três suítes
- Sala
- Cozinha
- 3 Banheiros
- Área de serviços
- 2 Vagas de garagem

Diferenciais Exclusivos:

- 3 Suítes independentes
- Varanda gourmet com churrasqueira a carvão tradicional
- Vagas de garagem subsolo
- Piso em 100% do apartamento
- Box nos banheiros
- Infraestrutura completa de ar condicionado 4 pontos de ar-condicionado
- Fechadura Biométrica
- Persiana automatizada nas janelas das suítes blackout
- Gerador de energia possibilita entrada e saída do prédio, elevador e 3 tomadas dentro do apartamento, inclusive da geladeira. Um ponto de luz na sala, um ponto na cozinha
- Espaço Uber
- Delivery room refrigerado
- Depósitos privativos

Lazer no Condomínio:

- Beach arena
- Piscina adulto e infantil
- Bar da piscina
- Churrasqueira
- Playground
- Fitness completo
- Salão de festas multiuso
- Espaço gourmet multiuso
- Sauna seca com ducha circular
- Salão de jogos
- Brinquedoteca
- Coworking de visitas
- Car wash
- Pet place e dog wash
- Casa de campo multiuso
- Wi-fi nas áreas comuns

Que tal agendar uma visita e conhecer este imóvel hoje mesmo?

Também temos imóveis no Jardim das Colinas, Urbanova, Vila Ema, Vila Adyanna, Jardim São Dimas, Jardim das Indústrias, Jardim Alvorada, Royal Park, Parque Residencial Aquarius, Chácara Serimbura, Altos da Serra, Jardim do Golfe, Alphaville, Residencial Mônaco, Residencial Monte Carlo, Floradas do Paratehy, Reserva do Paratehy, Sunset Park, Bosque Imperial, Jardim Apolo, Jardim Altos do Esplanada, Recanto da Serra, Eldorado, Moradas da Serra, Mont Serrat, Chácaras do Parayba, Altos da Serra Vl, Pontal da Serra, Portal da Serra, Residencial Jaguary, Piaget, Vernazza, Paesaggio, Pátio Condomínio Club, Esplanada Life, L`essence Jardim Aquarius, Central Park, Grand Club Vila Ema, Abruzzo, Privilege, Premiere Jardim Aquarius, Open View Aquarius entre outros da região.

Seja para vender, alugar ou adquirir um imóvel procure o Grupo Kaza, a sua imobiliária em São José dos Campos.

O Grupo Kaza atua com foco em atender seus clientes com excelência seja em locação, vendas de imóveis prontos, usados ou mesmo nos principais lançamentos da região de São José dos Campos.

Vem você também para o Grupo Kaza, excelência em consultoria imobiliária.

As informações contidas neste anúncio foram informadas pelo proprietário (a) do imóvel e possuem seus direitos reservados.. ref. 60852 atualizado em 10/08.",120,3,2,3,-23.2038811,-45.9021055
3,3,3,Parque Residencial Aquarius, São José dos Campos,Rua Doutor Jorge de Oliveira Coutinho,"Apartamento de luxo com 4 suítes à venda, 360m² bairro Jardim Aquarius em São José dos Campos/SP

Apartamento finamente decorado com amplos ambientes com tudo dentro (porta fechada) e uma vista incrível para praça Ulisses Guimarães no desejado bairro Jardim Aquarius. Com projeto de interiores refinado e luxuoso, com capricho na iluminação e dormitórios amplos e espaçosos. Área de serviço com banheiro.
Possui 4 vagas de garagem soltas e segurança 24horas.

Com 1 apartamento por andar esse edifício é um ícone do luxo na cidade, elevador privativo, sala 3 ambientes, varanda gourmet com vista livre, andar alto, churrasqueira e área de convivencia de lazer integrado com a varanda. Lavabo moderno, sala de TV com sofá automatizado.

Agende agora uma consultoria com especialistas em alto padrão clique em ""QUERO VISITAR"" que iremos ajudar você a encontrar o imóvel ideal de acordo com o que você busca!

Experiência exclusiva com a i9vale imóveis luxo SJCampos e região, especialistas em entender você! -",360,4,4,5,,
4,4,4,Monte Castelo, São José dos Campos,Rua Guararapes,"LINDO APARTAMENTO
54 M² COM VARANDA 
-2 QUARTOS SENDO 1 SUÍTE 
-SALA AMPLA
-COZINHA AMERICANA

O CONDOMINIO POSSUI
- 2 ELEVADORES
-SALÃO DE FESTAS

PROXIMO:
-ESCOLAS
-TRANSPORTE PUBLICO
-HAVAN 
-ATACADÃO
-PRINCIPAIS VIAS DE ACESSO
-CENTRO DE COMERCIO
-FARMACIAS 
-CRECHES 
AGENDE UMA VISITA",54,2,1,1,-23.1839915,-45.8762111
5,5,5,Condomínio Recanto da Baronesa, São José dos Campos,Avenida Padre Benedito Luiz da Costa,"Utilize seu FGTS na entrada.
Entrada parcelada em até 30 vezes

Condições promocionais no financiamento Caixa:
- ITBI
- Taxa de registro
- Piso Laminado em todo o apartamento (Piso frio nas áreas frias)

Não perca essa oportunidade!!
Com uma vista incrível para o campo, o Altos da Baronesa é mais do que um empreendimento, é um convite para viver no coração do planejado Loteamento Recanto da Baronesa, uma jóia na região sul de São José dos Campos.

Com plantas de 55m² a 151m², sendo 2 ou 3 dormitórios com 1, 2 ou 3 suítes, este empreendimento exclusivo encontra-se em uma vizinhança nobre, estrategicamente próximo ao Quinta das Flores, SESI e Vale Sul Shopping.
Com uma vista incrível para o campo!
Apenas alguns minutos separam você de toda a estrutura que a região oferece à cidade, com uma abundância de instituições educacionais, farmácias, mercados e uma ampla gama de comércios, serviços e opções gastronômicas.

Diferenciais do empreendimento:
 | Piscina adulto e infantil
 | Brinquedoteca
 | Espaço Fitness
 | Salão de Festas Rooftop
 | Churrasqueira Rooftop
 | Espaço Coworking

No Altos da Baronesa, não é apenas um apartamento que você está adquirindo, mas um estilo de vida que incorpora comodidade, conveniência e a beleza natural ao seu redor.

Explore o equilíbrio perfeito entre tranquilidade e acessibilidade, em um lugar que celebra cada detalhe da vida.

Agende uma visita agora mesmo com um corretor especialista Grupo Kaza e conheça a exclusividade de viver no melhor de São José dos Campos!

Também temos imóveis no Jardim Sul, Parque Industrial, Jardim Oriente, Jardim Colonial,
Floradas de São José, 31 de Março, Jardim República, Jardim América, Jardim Satélite,
Bosque dos Ypês, Bosque dos Eucaliptos, Quinta das Flores, Jardim Morumbi, Vila São
Bento, Jardim Anhembi, casas e apartamentos próximos ao Shopping Vale Sul, além de
pontos comerciais localizados na Zona Sul.",55,2,1,2,,
6,6,6,Jardim Satélite, São José dos Campos,Rua Mário Alves de Almeida,"Cobertura Duplex no bairro Jardim Satélite com :
3 quartos 
2 suítes 
1 banheiro
3 vagas 
Possui salão de festas.
Piscina
Proximo das principais vias 
- Vale Sul
-via dutra a 2 minutos
-Tamoios a 10 minutos 
Proximos de Centros esporitvos como Joao do Pulo
Clube Acm 
Academia Smart Fit 
Entre os comercios em geral
A cobertura no bairro Jardim Satélite possui 165 metros quadrados 
Vai lhe possibilitar curtir os dias mais quentes na piscina. Elevador que garante o transporte das suas malas e compras.",165,3,3,1,-23.2161228,-45.8885458
7,7,7,Jardim Oswaldo Cruz, São José dos Campos,Rua República do Líbano,"104 M² - 3 DORMITÓRIOS / 1 SUÍTE 2 VAGAS PARALELAS
Belíssimo apartamento reformado com 3 dormitórios sendo 1 suíte, cozinha, área de serviço com banheiro, banheiro social, sala de estar, 2 vagas paralelas de garagem coberta.
Todos os cômodos com lindos armários planejados, pisos porcelanato na sala e madeira nos quartos. Linda sala contemplando 2 ambientes, aquecimento nos chuveiros e torneiras (caldeira).
Apartamento muito agradável e bem iluminado, todos os cômodos são confortáveis e muito bem distribuídos pelos 104 m², além disso, o imóvel fica no bairro Jardim Oswaldo Cruz, praticamente ao lado do Center Vale e Supermercado Extra, tornando o seu dia seja muito mais prático.
Condomínio com portaria virtual, salão de festas, piscina adulto e infantil, churrasqueira, playground, salão de jogos e 5 vagas destinadas aos visitantes.
Importante: água e gás já estão inclusos na taxa mensal de condomínio
Andar alto com sol da manhã.
Venha conhecer e se encantar com este lindo apartamento.",104,3,2,3,-23.2012499,-45.8834841
8,8,8,Jardim Oswaldo Cruz, São José dos Campos,Rua República de Israel,"O Attuale chegou para atualizar suas definições de residencial e oferecer a oportunidade de se conectar a um novo estilo de vida. Com design moderno e localização privilegiada, a 150m do CenterVale Shopping. A Reflora elaborou cada detalhe pra te oferecer exclusividade, conforto e qualidade de vida.

• Apartamentos de 2 ou 3 dormitórios com suíte.
• 56, 70 ou 73 m² de área privativa
• 1 ou 2 vagas de garagem
• Varanda Gourmet integrada a cozinha
• Hobby box privativo
• Ponto para ar condicionado tipo split
• Lazer Completo:
• Piscina climatizada
• Churrasqueira
• Praça com pomar
• Salão de festas
• Área Gourmet
• Brinquedoteca
• Salão de jogos
• Fitness
• Fitness externo
• Mini-quadra de esportes
• Playground
• Coworking
• Áreas comuns entregues decoradas*
• Pontos de Wifi nas áreas comuns do térreo**
* (conforme memorial)
** (estrutura para wifi conforme previsto em projeto).",56 - 73,2 - 3,1 - 2,2,-23.2008318,-45.8830378
9,9,9,Jardim Satélite, São José dos Campos,Avenida Papa João Paulo I,"Em andar médio, vista livre, piso em madeira e móveis planejados com fino acabamento
São 3 dormitórios com armários planejados sendo 1 suíte
Cozinha planejada com fogão e forno
Sala com 2 ambientes
Sacada com Churrasqueira e Cortina de Vidro
Banheiros com gabinete
2 vagas cobertas

Condomínio com:
Piscina
Academia
Churrasqueira
Salão de Festas
Estacionamento para Visitantes
Portaria 24 horas

Ana Oliveira Consultora de Imóveis
Abrindo Portas para Você
CRECI 171712
Acesse o site: www.anaoliveiraconsultora.com",88,3,2,2,-23.2281635,-45.8793978
