,area,rooms,parking,bathrooms,lat,lon,price
2,124,4,3,3,-23.1979166,-45.9113619,1090000
4,104,3,2,3,-23.2012499,-45.8834841,590000
5,60,2,1,2,-23.214223,-45.851209,300000
6,80,2,2,2,-23.2038811,-45.9021055,848500
7,65,2,1,2,-23.2267306,-45.9036805,515000
11,42,2,1,2,-23.2319718,-45.8942925,300000
15,278,3,4,5,-23.2082214,-45.9083253,3500000
17,233,4,3,5,-23.2034236,-45.9105214,2700000
18,194,3,3,5,-23.2127421,-45.9069145,2160000
20,57,2,2,2,-23.1966424,-45.8804728,365000
21,94,3,2,2,-23.2461706,-45.9154222,860000
22,70,3,1,2,-23.258028,-45.881022,459900
24,84,3,2,2,-23.1767396,-45.8279302,372341
25,60,2,1,2,-23.1417569,-45.7825794,380000
26,56,2,1,1,-23.1959281,-45.8649342,285000
28,59,2,2,2,-23.1966424,-45.8804728,385000
29,85,3,1,2,-23.2380792,-45.9010799,488000
30,176,3,3,5,-23.2057437,-45.9034166,1600000
32,98,2,2,3,-23.2190993,-45.9082337,1700000
34,61,2,1,2,-23.2210113,-45.8861064,400000
37,74,2,1,2,-23.2216165,-45.8990302,425000
39,62,2,1,2,-23.1780209,-45.8803006,369430
42,84,2,1,2,-23.1417569,-45.7825794,520000
47,135,3,3,4,-23.2327074,-45.9275569,1350000
48,55,2,1,2,-23.2534054,-45.9166353,550000
50,60,2,1,2,-23.2285629,-45.8969811,417000
52,58,2,1,1,-23.1524341,-45.9119804,190000
53,61,2,1,2,-23.2307302,-45.8975618,427000
54,95,1,2,2,-23.2157422,-45.9060993,980000
56,59,2,1,1,-23.1775485,-45.8397078,285000
57,60,3,2,2,-23.2629313,-45.8910605,435000
58,66,2,1,2,-23.2501304,-45.9122459,410000
61,189,4,2,5,-23.2058824,-45.9025149,1350000
62,110,3,2,3,-23.2071612,-45.9009565,1200000
63,74,3,1,2,-23.2213004,-45.8883248,475000
64,63,2,2,2,-23.1872533,-45.8692293,320000
65,66,2,1,1,-23.1755961,-45.813336,337710
66,54,2,1,1,-23.2505639,-45.8914715,270000
67,63,3,1,1,-23.25223225,-45.89789004270463,320000
68,44,2,1,1,-23.1961965,-45.8841151,298500
69,70,2,1,2,-23.2563576,-45.9119822,467000
70,70,3,2,2,-23.2568922,-45.8853581,459900
75,147,3,3,4,-23.2057437,-45.9034166,1965000
76,133,2,2,3,-23.2092982,-45.9032947,1500000
77,51,1,1,1,-23.2190226,-45.908767,680000
78,45,2,1,1,-23.1853312,-45.8543047,220000
81,52,2,1,1,-23.2859372,-45.9006658,255000
82,56,2,1,1,-23.2434773,-45.9058528,285000
84,72,2,1,2,-23.2629313,-45.8910605,447000
86,52,2,1,1,-23.2227325,-45.8949678,355000
87,52,2,1,1,-23.2466231,-45.8948605,280000
89,65,2,2,2,-23.2292595,-45.9159415,479000
90,124,3,2,4,-23.1979166,-45.9113619,1350000
92,156,4,3,3,-23.2327074,-45.9275569,1400000
93,58,2,1,2,-23.1909379,-45.886436,430000
94,69,2,2,1,-23.2153165,-45.9095676,823485
95,47,2,1,1,-23.1768395,-45.851599,267000
96,68,2,1,1,-23.1767396,-45.8279302,300000
97,60,2,1,2,-23.2308616,-45.8942314,360000
98,50,2,1,1,-23.2400181,-45.9134951,300000
100,40,1,1,1,-23.2052682,-45.8881552,320000
101,124,4,2,3,-23.2629313,-45.8910605,867000
103,65,2,1,2,-23.2267306,-45.9036805,600000
104,78,3,1,2,-23.2154269,-45.908121,723000
106,245,4,3,5,-23.2082214,-45.9083253,2600000
108,73,2,1,2,-23.2112762,-45.8525394,415000
109,60,3,2,2,-23.2629313,-45.8910605,435000
110,78,3,2,2,-23.2629313,-45.8910605,500000
112,116,3,2,3,-23.2221126,-45.9095335,1450000
113,33,1,1,1,-23.1956647,-45.8937347,237414
114,58,2,1,1,-23.2402544,-45.8933781,400000
115,51,2,1,2,-23.1827844,-45.9503959,450000
116,52,2,1,2,-23.218442,-45.850115,372000
117,65,2,1,2,-23.2267306,-45.9036805,600000
118,62,2,1,2,-22.8927416,-45.3786132,515000
119,65,3,2,2,-23.2629313,-45.8910605,478750
121,150,3,2,5,-23.2071612,-45.9009565,1540000
122,110,3,2,3,-23.2071612,-45.9009565,1199000
123,78,3,2,2,-23.2265205,-45.8968879,580000
124,81,2,2,2,-23.2351577,-45.9140475,605000
126,61,2,1,2,-23.2307302,-45.8975618,440000
128,54,2,1,2,-23.2341234,-45.9256624,427078
129,58,2,1,2,-23.2502173,-45.9170663,398000
133,33,1,1,1,-23.1956647,-45.8937347,237414
134,67,2,2,2,-23.2436303,-45.9132175,450000
135,76,2,1,2,-23.2092982,-45.9032947,950000
137,233,4,3,5,-23.2002824,-45.8940021,3180000
140,63,2,1,2,-23.2340199,-45.90173,395500
143,60,2,1,2,-23.2308616,-45.8942314,360000
144,48,2,1,1,-23.2456094,-45.824975,250000
147,48,2,1,1,-23.2349354,-45.9160047,265000
148,85,3,2,3,-23.1841579,-45.9547335,439446
149,170,4,3,5,-23.2071612,-45.9009565,1700000
150,49,2,1,1,-23.2341234,-45.9256624,385000
151,128,4,2,4,-23.2071612,-45.9009565,1250000
152,43,2,1,1,-23.2082751,-45.7837267,265000
153,73,2,1,2,-23.2112762,-45.8525394,415000
155,52,2,1,2,-23.218442,-45.850115,375000
158,46,2,1,1,-23.2349354,-45.9160047,298000
159,78,3,2,2,-23.2311239,-45.9066157,550000
171,33,1,1,1,-23.1956647,-45.8937347,237414
172,105,4,2,3,-23.2206945,-45.9101028,910000
173,47,2,1,1,-23.1768395,-45.851599,267000
176,68,2,1,1,-23.2029298,-45.8920947,400000
177,65,2,1,2,-23.2267306,-45.9036805,600000
178,65,2,1,2,-23.2453203,-45.8879353,425000
180,64,2,1,2,-23.2388871,-45.9070677,475000
181,100,2,2,3,-23.2341234,-45.9256624,890000
182,45,2,1,1,-23.2434773,-45.9058528,260000
183,112,3,2,3,-23.2153165,-45.9095676,950000
185,92,3,2,3,-23.2131162,-45.9078311,780000
186,48,2,1,1,-23.2341234,-45.9256624,390000
187,122,4,2,4,-23.2341234,-45.9256624,1170000
